standard_name,scientific_name
Balearic Warbler,Sylvia balearica
Dartford Warbler,Sylvia undata
Tristram's Warbler,Sylvia deserticola
Spectacled Warbler,Sylvia conspicillata
Subalpine Warbler,Sylvia cantillans
Menetries's Warbler,Sylvia mystacea
Sardinian Warbler,Sylvia melanocephala
Cyprus Warbler,Sylvia melanothorax
Rueppell's Warbler,Sylvia rueppelli
Asian Desert Warbler,Sylvia nana
African Desert Warbler,Sylvia deserti
Red Sea Warbler,Sylvia leucomelaena
Western Orphean Warbler,Sylvia hortensis
Eastern Orphean Warbler,Sylvia crassirostris
Barred Warbler,Sylvia nisoria
Lesser Whitethroat,Sylvia curruca
Greater Whitethroat,Sylvia communis
Garden Warbler,Sylvia borin
Blackcap,Sylvia atricapilla
Eastern Crowned Leaf-Warbler,Phylloscopus coronatus
Green Warbler,Phylloscopus nitidus
Greenish Warbler (Two-barred),Phylloscopus trochiloides plumbeitarsus
Greenish Warbler,Phylloscopus trochiloides
Arctic Warbler,Phylloscopus borealis
Pallas's Leaf-Warbler,Phylloscopus proregulus
Yellow-browed Warbler,Phylloscopus inornatus
Hume's Warbler,Phylloscopus humei
Radde's Warbler,Phylloscopus schwarzi
Dusky Warbler,Phylloscopus fuscatus
Western Bonelli's Warbler,Phylloscopus bonelli
Eastern Bonelli's Warbler,Phylloscopus orientalis
Wood Warbler,Phylloscopus sibilatrix
Plain Leaf-Warbler,Phylloscopus neglectus
Mountain Chiffchaff,Phylloscopus sindianus
Common Chiffchaff,Phylloscopus collybita
Iberian Chiffchaff,Phylloscopus ibericus
Canary Islands Chiffchaff,Phylloscopus canariensis
Willow Warbler,Phylloscopus trochilus
Ruby-crowned Kinglet,Regulus calendula
Goldcrest,Regulus regulus
Firecrest,Regulus ignicapilla
Firecrest (Madeira),Regulus ignicapilla madeirensis
Asian Brown Flycatcher,Muscicapa latirostris
Spotted Flycatcher,Muscicapa striata
Red-breasted Flycatcher,Ficedula parva
Taiga Flycatcher,Ficedula albicilla
Semicollared Flycatcher,Ficedula semitorquata
Collared Flycatcher,Ficedula albicollis
European Pied Flycatcher,Ficedula hypoleuca
Atlas Flycatcher,Ficedula speculigera
Bearded Reedling,Panurus biarmicus
Vinous-throated Parrotbill,Sinosuthora webbiana
Iraq Babbler,Turdoides altirostris
Common Babbler,Turdoides caudata
Arabian Babbler,Turdoides squamiceps
Fulvous Chatterer,Turdoides fulva
Red-billed Leiothrix,Leiothrix lutea
Long-tailed Tit,Aegithalos caudatus
Marsh Tit,Poecile palustris
Sombre Tit,Poecile lugubris
Willow Tit,Poecile montanus
Gray-headed Chickadee,Poecile cinctus
Crested Tit,Lophophanes cristatus
Coal Tit,Periparus ater
Eurasian Blue Tit,Cyanistes caeruleus
African Blue Tit,Cyanistes teneriffae
Azure Tit,Cyanistes cyanus
Great Tit,Parus major
Krueper's Nuthatch,Sitta krueperi
Corsican Nuthatch,Sitta whiteheadi
Algerian Nuthatch,Sitta ledanti
Red-breasted Nuthatch,Sitta canadensis
Eurasian Nuthatch,Sitta europaea
Persian Nuthatch,Sitta tephronota
Rock Nuthatch,Sitta neumayer
Wallcreeper,Tichodroma muraria
Eurasian Treecreeper,Certhia familiaris
Short-toed Treecreeper,Certhia brachydactyla
Eurasian Penduline-Tit,Remiz pendulinus
Pygmy Sunbird,Hedydipna platura
Nile Valley Sunbird,Hedydipna metallica
Purple Sunbird,Cinnyris asiaticus
Palestine Sunbird,Cinnyris osea
Eurasian Golden Oriole,Oriolus oriolus
Black-crowned Tchagra,Tchagra senegalus
Brown Shrike,Lanius cristatus
Isabelline Shrike,Lanius isabellinus
Red-backed Shrike,Lanius collurio
Long-tailed Shrike,Lanius schach
Lesser Gray Shrike,Lanius minor
Northern Shrike,Lanius excubitor
Southern Gray Shrike,Lanius meridionalis
Woodchat Shrike,Lanius senator
Masked Shrike,Lanius nubicus
Ashy Drongo,Dicrurus leucophaeus
Eurasian Jay,Garrulus glandarius
Siberian Jay,Perisoreus infaustus
Azure-winged Magpie,Cyanopica cyanus
Eurasian Magpie,Pica pica
Eurasian Nutcracker,Nucifraga caryocatactes
Yellow-billed Chough,Pyrrhocorax graculus
Red-billed Chough,Pyrrhocorax pyrrhocorax
Eurasian Jackdaw,Corvus monedula
Daurian Jackdaw,Corvus dauuricus
House Crow,Corvus splendens
Rook,Corvus frugilegus
Carrion Crow,Corvus corone
Pied Crow,Corvus albus
Brown-necked Raven,Corvus ruficollis
Common Raven,Corvus corax
Fan-tailed Raven,Corvus rhipidurus
Tristram's Starling,Onychognathus tristramii
Spotless Starling,Sturnus unicolor
European Starling,Sturnus vulgaris
Rosy Starling,Pastor roseus
Daurian Starling,Sturnia sturnina
Bank Myna,Acridotheres ginginianus
Common Myna,Acridotheres tristis
Vinous-breasted Starling,Acridotheres burmannicus
Crested Myna,Acridotheres cristatellus
House Sparrow,Passer domesticus
Spanish Sparrow,Passer hispaniolensis
Dead Sea Sparrow,Passer moabiticus
Cape Verde Sparrow,Passer iagoensis
Desert Sparrow,Passer simplex
Eurasian Tree Sparrow,Passer montanus
Sudan Golden Sparrow,Passer luteus
Pale Rockfinch,Carpospiza brachydactyla
Chestnut-shouldered Petronia,Petronia xanthocollis
Rock Petronia,Petronia petronia
White-winged Snowfinch,Montifringilla nivalis
Village Weaver,Ploceus cucullatus
Black-headed Weaver,Ploceus melanocephalus
Streaked Weaver,Ploceus manyar
Yellow-crowned Bishop,Euplectes afer
Red-billed Firefinch,Lagonosticta senegala
Common Waxbill,Estrilda astrild
Red Avadavat,Amandava amandava
Indian Silverbill,Euodice malabarica
African Silverbill,Euodice cantans
Tricolored Munia,Lonchura malacca
White-eyed Vireo,Vireo griseus
Yellow-throated Vireo,Vireo flavifrons
Philadelphia Vireo,Vireo philadelphicus
Red-eyed Vireo,Vireo olivaceus
Common Chaffinch,Fringilla coelebs
Blue Chaffinch,Fringilla teydea
Brambling,Fringilla montifringilla
Fire-fronted Serin,Serinus pusillus
European Serin,Serinus serinus
Syrian Serin,Serinus syriacus
Island Canary,Serinus canaria
Citril Finch,Serinus citrinella
Corsican Finch,Serinus corsicanus
European Greenfinch,Chloris chloris
European Goldfinch,Carduelis carduelis
Eurasian Siskin,Spinus spinus
Eurasian Linnet,Carduelis cannabina
Twite,Carduelis flavirostris
Common Redpoll,Acanthis flammea
Hoary Redpoll (hornemanni),Acanthis hornemanni hornemanni
White-winged Crossbill,Loxia leucoptera
Red Crossbill,Loxia curvirostra
Scottish Crossbill,Loxia scotica
Parrot Crossbill,Loxia pytyopsittacus
Crimson-winged Finch,Rhodopechys sanguineus
Desert Finch,Rhodospiza obsoleta
Mongolian Finch,Bucanetes mongolicus
Trumpeter Finch,Bucanetes githagineus
Common Rosefinch,Carpodacus erythrinus
Pale Rosefinch,Carpodacus synoicus
Pallas's Rosefinch,Carpodacus roseus
Great Rosefinch,Carpodacus rubicilla
Pine Grosbeak,Pinicola enucleator
Long-tailed Rosefinch,Uragus sibiricus
Eurasian Bullfinch,Pyrrhula pyrrhula
Azores Bullfinch,Pyrrhula murina
Hawfinch,Coccothraustes coccothraustes
Evening Grosbeak,Coccothraustes vespertinus
Black-and-white Warbler,Mniotilta varia
Golden-winged Warbler,Vermivora chrysoptera
Blue-winged Warbler,Vermivora cyanoptera
Tennessee Warbler,Oreothlypis peregrina
Northern Parula,Setophaga americana
Yellow Warbler,Setophaga petechia
Chestnut-sided Warbler,Setophaga pensylvanica
Cerulean Warbler,Setophaga cerulea
Black-throated Blue Warbler,Setophaga caerulescens
Black-throated Green Warbler,Setophaga virens
Blackburnian Warbler,Setophaga fusca
Cape May Warbler,Setophaga tigrina
Magnolia Warbler,Setophaga magnolia
Yellow-rumped Warbler,Setophaga coronata
Yellow-throated Warbler,Setophaga dominica
Palm Warbler,Setophaga palmarum
Blackpoll Warbler,Setophaga striata
Bay-breasted Warbler,Setophaga castanea
American Redstart,Setophaga ruticilla
Ovenbird,Seiurus aurocapilla
Northern Waterthrush,Parkesia noveboracensis
Louisiana Waterthrush,Parkesia motacilla
Common Yellowthroat,Geothlypis trichas
Hooded Warbler,Setophaga citrina
Wilson's Warbler,Cardellina pusilla
Canada Warbler,Cardellina canadensis
Summer Tanager,Piranga rubra
Scarlet Tanager,Piranga olivacea
Eastern Towhee,Pipilo erythrophthalmus
Lark Sparrow,Chondestes grammacus
Savannah Sparrow,Passerculus sandwichensis
Fox Sparrow,Passerella iliaca
Song Sparrow,Melospiza melodia
Lincoln's Sparrow,Melospiza lincolnii
White-crowned Sparrow,Zonotrichia leucophrys
White-throated Sparrow,Zonotrichia albicollis
Dark-eyed Junco,Junco hyemalis
Lapland Longspur,Calcarius lapponicus
Snow Bunting,Plectrophenax nivalis
Black-faced Bunting,Emberiza spodocephala
Pine Bunting,Emberiza leucocephalos
Yellowhammer,Emberiza citrinella
Cirl Bunting,Emberiza cirlus
Rock Bunting,Emberiza cia
Striolated Bunting,Emberiza striolata
House Bunting,Emberiza sahari
Cinereous Bunting,Emberiza cineracea
Ortolan Bunting,Emberiza hortulana
Gray-hooded Bunting,Emberiza buchanani
Cretzschmar's Bunting,Emberiza caesia
Chestnut-eared Bunting,Emberiza fucata
Yellow-browed Bunting,Emberiza chrysophrys
Rustic Bunting,Emberiza rustica
Little Bunting,Emberiza pusilla
Chestnut Bunting,Emberiza rutila
Yellow-breasted Bunting,Emberiza aureola
Reed Bunting,Emberiza schoeniclus
Pallas's Bunting,Emberiza pallasi
Red-headed Bunting,Emberiza bruniceps
Black-headed Bunting,Emberiza melanocephala
Corn Bunting,Emberiza calandra
Dickcissel,Spiza americana
Rose-breasted Grosbeak,Pheucticus ludovicianus
Indigo Bunting,Passerina cyanea
Bobolink,Dolichonyx oryzivorus
Brown-headed Cowbird,Molothrus ater
Yellow-headed Blackbird,Xanthocephalus xanthocephalus
Baltimore Oriole,Icterus galbula
